hashed_row,title,price,categories
201d9a66b94b1db9b3f3762624816d57,"Munchkin® High 'n Dry™ Corner Bath Toy Organizer and Storage, Grey",11.44,"['Home & Kitchen', 'Bath', 'Bathroom Accessories', 'Shower Accessories', 'Shower Caddies']"
4cf2175bb21e8ca1dba747c165199eb4,"ECam Rainbow Wall Decals, Boho Wall Decal, Rainbow Decal, Boho Wall Decor, Kids Wallpaper, Sun Wall Decal, Sun Wall Decor, Boho Rainbow Wallpaper for Nursery Playroom Kids Bedroom Classroom Decor",8.97,"['Baby Products', 'Nursery', 'Décor', 'Wall Décor', 'Stickers']"
5e4f515e74e8f507e7f7f30cb65b6be8,"23.62” X 23.62” Watercolor Boho Sun Wall Decals Peel and Stick, PVC Sunrise Wall Stickers, Yellow Sunshine Wall Art Decor for Kids Room Playroom Nursery Bedroom (Boho Sun-1)",11.99,"['Baby Products', 'Nursery', 'Décor', 'Wall Décor', 'Stickers']"
5a46712fe2de63db5712b5ded018cc87,"MiraLAX Gentle Constipation Relief Laxative Powder, Stool Softener with PEG 3350, Works Naturally with Water in Your Body, No Harsh Side Effects, Osmotic Laxative, #1 Physician Recommended, 45 Dose",26.99,"['Health & Household', 'Health Care', 'Over-the-Counter Medication', 'Digestion & Nausea', 'Laxatives']"
5a46712fe2de63db5712b5ded018cc87,"MiraLAX Gentle Constipation Relief Laxative Powder, Stool Softener with PEG 3350, Works Naturally with Water in Your Body, No Harsh Side Effects, Osmotic Laxative, #1 Physician Recommended, 45 Dose",26.99,"['Health & Household', 'Health Care', 'Over-the-Counter Medication', 'Digestion & Nausea', 'Laxatives']"
e7add4f6146d8868f946e18df1a9abed,5 Pieces Arch Wall Decal Boho Wall Decal Peel and Stick Modern Polka Dot Decals Arch Wall Stickers Terracotta Wall Decor Art Murals Wall Decal Removable Minimalist Wallpaper for Bedroom Living Room,12.99,"['Tools & Home Improvement', 'Paint, Wall Treatments & Supplies', 'Wall Stickers & Murals']"
7b5b681b812ac31f1350340406148899,"Boho Arch Wall Decal Decor, Modern Simple Style Arch Wall Sticker for Living Room Bedroom, Removable Peel and Stick Large Boho Wallpaper Wall Art Hotel Corridor Decoration, 69.5”x32.3” (Yellow)(Wzy3)",22.99,"['Tools & Home Improvement', 'Paint, Wall Treatments & Supplies', 'Wall Stickers & Murals']"
7c91c389e382e2c4a2d6528bffecad7b,"Privacy Window Film Decoration, Heat Control Window Tint for Home, Static Cling Glass Door Coverings Window Sticker Removable Non-Adhesive UV Blocking, White Frosted w/ Morocco Lines, 35.4 by 118.1 In",34.99,"['Home & Kitchen', 'Home Décor Products', 'Window Treatments', 'Window Stickers & Films', 'Window Films']"
8475704fd240b14dfcfeacb4256f5e1c,Google Nest WiFi Pro - Wi-Fi 6E - Reliable Home Wi-Fi System with Fast Speed and Whole Home Coverage - Mesh Wi-Fi Router - Snow,199.99,"['Electronics', 'Computers & Accessories', 'Networking Products', 'Whole Home & Mesh Wi-Fi Systems']"
6ebc0945116fa88ebb5bfcd5413eff65,"Tempaper TD3100 Arch Peel and Stick Wall Decal, Pastel Blue",28.0,"['Tools & Home Improvement', 'Paint, Wall Treatments & Supplies', 'Wall Stickers & Murals']"
b513be73056fbe6d65feb9f5bd2a381c,"Duracell CR2032 3V Lithium Battery, Child Safety Features, 4 Count Pack, Lithium Coin Battery for Key Fob, Car Remote, Glucose Monitor, CR Lithium 3 Volt Cell",7.36,"['Health & Household', 'Household Supplies', 'Household Batteries', 'Coin & Button Cell']"
b30806ced4cdb719c44005c01ebcb1cb,"My Bebe Baby Self Feeding Cushion, Baby Self Feeding Pillow, Breast Feeding Pillow, Baby Feeding Bottle Holder",24.99,"['Baby Products', 'Feeding', 'Pillows & Pillow Covers', 'Pillows']"
76c5ebcddbb7faef030bc1a4a4fb7421,"ECHOGEAR TV Safety Straps for Flat Screens - Anchor TVs Up to 90"" to Furniture Or The Wall - Pre-Assembled Anti-Tip Strap Includes All Hardware for Baby Proofing Your TV",15.99,"['Baby Products', 'Safety', 'Guards & Locks', 'Cabinet Locks']"
2118aa981f14876d87d73b70958fd938,EPEIUS Baby Tights Baby Girls Non-Slip Plain/Ribbed Leggings Seamless Cotton Stockings Pantyhose Newborn Infant Toddler,14.99,"['Clothing, Shoes & Jewelry', 'Baby', 'Baby Girls', 'Accessories', 'Tights']"
7c0ce26e6c94ee4cde0f05ba2a9fc902,2 Pcs Rainbow Top Clown Hats Adjustable Elastic Y Back Style Suspenders Adjustable Bow Tie for Adults Men Firefighter Women,30.99,"['Clothing, Shoes & Jewelry', 'Costumes & Accessories', 'Women', 'Accessories', 'Headwear']"
4a2e5c1cb5f85f795b80a975d641636b,"Meat Hugger - Pink Butcher Paper Dispenser Box (17.25 Inch by 225 Feet Roll) - Heavy Duty Unwaxed Unbleached Food Grade Paper - Smoker Safe, Use Wrap While Cooking For Tender Meat",25.99,"['Industrial & Scientific', 'Food Service Equipment & Supplies', 'Disposables', 'Butcher Paper']"
1d99caa62158f76aa106393539e1ceaa,"Kexle Nitrile Disposable Gloves Pack of 100, Latex Free Safety Working Gloves for Food Handle or Industrial Use",26.99,"['Health & Household', 'Household Supplies', 'Cleaning Tools', 'Gloves']"
0f52cc93cadd969f81ca67703696835d,"Tameler baby Spoons Self Feeding 6+ Months - 7 Pack Silicone Toddler First Stage Solid Feeding Utensils, Baby Led Weaning Supplies, 2-in-1 Rainbow Chew Spoons for Kids - BPA Free- Diswasher Safe",9.99,"['Baby Products', 'Feeding', 'Solid Feeding', 'Utensils', 'Spoons']"
590f78b64b1ca4aa4c67c501c2d430ab,"2 Prong Power Strip with Surge Protector 1700J, EyGde Multi Plug Outlet Extender with Rotating Plug, 6 Wall Outlet Splitter (3 Sided) with 4 USB Ports for Kitchen, Bathroom, White",16.99,"['Tools & Home Improvement', 'Electrical', 'Cords, Adapters & Multi-Outlets', 'Adapters & Multi-Outlets', 'Multi-Outlets']"
5ef4e1b00e0aca185f77ddb26dfad6a0,"SHINESTAR Grill Cover for Pit Boss 700FB, Lexington 500, Classic 700 Wood Pellet Grill, Special Zipper Design, Waterproof & Windproof",29.99,"['Patio, Lawn & Garden', 'Grills & Outdoor Cooking', 'Outdoor Cooking Tools & Accessories', 'Grill Covers']"
